Augmentation Type,Original Sentence,Augmented Sentence
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The DCD of stainless steel will be filled with <e2> N2 </e2>, and the pressure in the external volume of the bedroom is stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder is filled with <e2> compressed_nitrogen </e2>, and the pressure in the outer volume of the camera can be restricted."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel was filled with E2_paceholder, and the pressure in the outer book of the camera constitutes regularly maintained."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel <e1> tank </e1> was filled with <e2> gaseous_nitrogen </e2>, and the pressure from the Indiana, the outside book of the room was stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The Staillze_Steel steel E1_placeholder is immediately filled with E2_placeholder, and the imperativity in the outer largest part of the bedroom is kept stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel -steel <e1> tank </e1> was filled with E2_Placeholder, and the printing machine in the external volume of the chamber is kept stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The erroneous steel <e1> cylinder </e1> was filled with <e2> liquid_nitrogen </e2>, and the pressure in the external book of the camera was solid."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel -steel E1_Place helper is available with E2_Placeholder, and the pressure in the external volume of the chamber was stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel -steel E1_Place helper is synonymous with <e2> liquid_nitrogen </e2>, and the pressure in the external volume of the chamber was kept stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless sword E1_placeholder was filled with E2_placeholder and the pressure in the outer volume of the room was stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel <e1> cylinder </e1> is filled with E2_Place helper, and the pressure in the external volume of the chamber is held back stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel E1_Placeholder was occupied with E2_Placeholder and the pressure in the external volume of the Chamber was maintained stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder is filled with E2_Placeholder, and the atmosphere_Pressure in the outer volume of the chamber remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel <e1> container </e1> was filled with <e2> gaseous_nitrogen </e2> and the pressure in the external volume of the room was maintained stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel sword E1_placeholder was filled with E2_placeholder and the atmospheric_pressure in the outer volume of the room would remain stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel <e1> reservoir </e1> was filled with E2_Placeholder and the Indian atmospheric_pressure the external volume of the bedroom was kept stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless sword_steel <e1> container </e1> was filled with E2_Placeholder and the pressure in the external book of the Chamber was kept stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel <e1> tank </e1> was filled with <e2> compressed_nitrogen </e2> and the pressure in the most part of the room in the event of the room keeps constant.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel sword E1_Placeholder is filled with E2_Placeholder, and the pressure on the outer volume of the chamber remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder was filled with e2_paceholder, and the pressure in the outer volume of the camera remained stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_placeholder was filled with E2_placeholder, and the pressure Indiana, the outer bulk of the room, was stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",Stainless_steel Sword E1_Placeholder is filled with E2_Placeholder and the external pressure on the bedroom cost remains firm.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_paceholder will be filled with E2_Placeholder, and the pressure in the outer volume of the camera remained stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The holder of steel in roommate with roommate E1_Place was filled with <e2> liquid_nitrogen </e2>, and the pressure in the outside volume of the room is maintained stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel E1_Plapeholter was filled with E2_Place helmets and the pressure in the largest part of the room when the room remains constant.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel sword E1_Placeholder occupies the E2_Placeholder, and the pressure on the external volume of the bedroom remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder is filled with E2_Placeholder, and the pressure in Indiana remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless sword E1_placeholder was filled with E2_placeholder and the pressure in the outer volume of the room would be stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel -steel <e1> container </e1> was filled with E2_Place -h, and the pressure in the external volume of the chamber was kept stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder and E2_Placeholder are kept satisfied, and the pressure of the outer volume of the chamber remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The steel holder in steel E1_PLEYLESS E1_PLACE was filled with <e2> gaseous_nitrogen </e2>, and the pressure in most of the room was stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","Steel <e1> container </e1> stainless_steel met with <e2> N2 </e2>, and atmospheric_pass in the external volume of the camera is stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel_steel <e1> reservoir </e1> must be filled with E2_Placeholder and the pressure in the external volume of the Chamber has been observed constant.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel <e1> tank </e1> is Fill_Up with E2_Placeholder and the pressure in the external volume of the Chamber must be observed stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The Staillo -Steel Staal E1_placeholder is filled with E2_placeholder, and the imperativity inch The outer volume of the room was kept stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder equal full of <e2> compressed_nitrogen </e2>, and the pressure in the outer volume of the equal camera kept firm."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder is filled with E2_Placeholder, and the pressure on the external volume of the bedroom remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel sword <e1> container </e1> was filled with E2_Place -H, and the pressure in the external volume of the chamber was recorded."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel <e1> container </e1> holder has been filled with E2_Place holder, and the pressure in the outside volume of the room is kept stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Plapale is commissioned to E2_Place -Holder, and the pressure in the external volume of the chamber is kept stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","Stainless steel E1_Placeholder is filled with E2_Placeholder, and the pressure in indoor books is stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder is filled with E2_Placeholder, and the pressure in Indiana remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder is filled with the E2_Placeholder, and imperfection of the outer volume of the chamber is routinely observed."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel <e1> container </e1> must be filled with <e2> N2 </e2> and the pressure is the external volume of the Chamber has been maintained stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_paceholder was satiated with E2_paceholder, and the pressure in most of the camera remained stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel -e1_place helper was filled with E2_Place helmets, and the pressure in the outer volume of the chamber was stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The steelless_steel Steel E1_placeholder was filled with E2_placeholder and the imperativity in the outer part of the room exists regularly.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel <e1> tank </e1> constitutes a Fill_up with <e2> N2 </e2>, and the pressure in the outside volume of the room exists observing stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","Steel <e1> tank </e1> stainless_steel was filled with <e2> compressed_nitrogen </e2>, and the press in the outer volume of the camera remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder will be filled with <e2> compressed_nitrogen </e2>, and the Indian pressure The outer volume of the camera exists stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder is filled with E2_Placeholder, and the pressure on the external volume of the bedroom remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The holder of <e1> tank </e1> in stainless steel embodies the E2_Place manager, and the imperativity in the outside volume of the room is maintained stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel E1_Placeholder was filled with <e2> compressed_nitrogen </e2> and the imperativity in the external volume of the Chamber must be maintained stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The E1
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel_steel <e1> container </e1> was filled with e2_paceholder, and the pressure in the external volume of the cost of the camera avoids the company."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder is filled with E2_Placeholder, and the pressure in the book outside the conference room remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder is filled with E2_Placeholder, and the pressure of the outer volume of the chamber remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The steel holder in steel E1_PLEYLESS E1_PLACE was filled with <e2> gaseous_nitrogen </e2>, and the pressure in the external volume of the cost of the room prevents the company."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The Staillze_Steel steel E1_placeholder is immediately filled with E2_placeholder, and the imperativity in the outer largest part of the bedroom is kept stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder is filled with the E2_Placeholder, and the atmosphere_pressure in the outer volume of the chamber remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel was filled with E2_paceholder, and the pressure in the outer book of the camera constitutes regularly maintained."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The Staillze_Steel steel E1_placeholder is filled with E2_placeholder, and the pressure in the outer volume of the room was stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder is filled with E2_Placeholder, and the indoor volume pressure remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel <e1> container </e1> was filled with <e2> N2 </e2>, and the imperativity in the outside volume of the room is Keep_open stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The Staillze_Steel steel E1_placeholder is immediately filled with E2_placeholder and the pressure in the outer volume of the room was retained.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel -steel <e1> reservoir </e1> was filled with E2_Place -H, and the atmospheric press in the external volume of the chamber was kept constant."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder is filled with the E2_Placeholder, and the atmosphere retainer in the external volume of the bedroom remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder and E2_Placeholder are kept satisfied, and the pressure of the outer volume of the chamber remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel <e1> container </e1> was filled with <e2> gaseous_nitrogen </e2> and the pressure in the external volume of the Chamber is maintained stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel <e1> container </e1> was filled with E2_Placeholder and the pressure of Indiana The external volume of the Chamber must be kept stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel -steel <e1> reservoir </e1> was classified with the E2_Place helper, and the pressure of the external volume of the chamber was constantly observed."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel <e1> container </e1> holder was filled with <e2> compressed_nitrogen </e2>, and the pressure indium The outside volume of the room was stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel E1_Placeholder is filled with E2_Placeholder and the atmosphere_Pressure in the outer volume of the chamber remains stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless sword e1_paceholder was filled with e2_paceholder, and the pressure in the outer volume of the camera remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel -steel <e1> reservoir </e1> was filled with E2_Place held, and the pressure, the outer volume of the chamber, was stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel -steel <e1> reservoir </e1> was classified with the E2_Place helper, and the pressure of the external volume of the chamber was constantly observed."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The Staillze_Steel steel E1_placeholder is filled with E2_placeholder, and the pressure in the outer volume of the room was stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel <e1> reservoir </e1> was occupied with E2_Placeholder and the pressure in the most part of the room envelope maintained constant.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The owner of the stainless steel E1_PLACE was filled with <e2> liquid_nitrogen </e2>, and the pressure of the indi -volume of the chamber remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel E1_placeholder was filled with E2_placeholder and the atmospheric_pressure in the outer volume of the room would remain stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel -steel <e1> cylinder </e1> is filled with E2_Place helper, and the pressure in the majority of the chamber was stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","Steel <e1> container </e1> Stainess_Steel will be filled with <e2> compressed_nitrogen </e2>, and the pressure in the external volume of the chamber was observed stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel E1_Placeholder is filling with E2_Placeholder and the pressure in the most part of the room has been supported constant.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_placeholder is filled with E2_placeholder, and the pressure in the outer volume of the room was stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless sword e1_paceholder is filled with <e2> N2 </e2>, and the pressure in the outer volume of the camera remained stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder is filled with E2_Placeholder, and the pressure on the outer volume of the chamber remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel <e1> tank </e1> is filled with <e2> liquid_nitrogen </e2>, and the pressure of the external chamber remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel -steel <e1> reservoir </e1> was classified with the E2_Place helper, and the pressure of the external volume of the chamber was constantly observed."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel sword E1_Placeholder is filled with E2_Placeholder and the pressure on the outer volume of the chamber remains firm.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The Staillo -Steel steel E1_placeholder was filled with E2_placeholder and the atmospheric_pressure in the outer volume of the room was stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The filling of charger E1_Place in stainless steel with <e2> N2 </e2>, and the pressure indium The outside volume of the room was kept farm."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel <e1> tank </e1> was filled with E2_placeholder and the pressure of the Indiana The external volume of the Chamber was maintained firm.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The designated steel <e1> container </e1> is equal to filling with the help of <e2> compressed_nitrogen </e2>, and atmospheric_pass in the external volume of the camera is stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel sword E1_Placeholder is filled with E2_Placeholder and the pressure on the outer volume of the chamber remains firm.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel_steel <e1> tank </e1> was filled with <e2> gaseous_nitrogen </e2>, and the pressure in the outer volume of the camera chamber remained stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder is filled with E2_Placeholder, and the pressure on the outer volume of the chamber remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel E1_Placeholder is filled with E2_Placeholder and the pressure in the indoor books remains stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel E1_Placeholder is the filling with E2_Placeholder and the imperativity in the external book of the Chamber has been maintained stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel E1_Placeholder was encountered with E2_Placeholder and the pressure in the external volume of the Chamber was kept stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The steel steel E1_Place E1_Place is filled with <e2> compressed_nitrogen </e2>, and the pressure in the outside volume of the room is maintained stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder is filled with E2_Placeholder, and the pressure on the external volume of the bedroom remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The holder of steel in steel E1_PLEYLESS E1_PLACE was filled with E2_PlaceHOLDER, and the imperativity in the outside volume of the equal chamber has remained stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel sword <e1> container </e1> is filled with E2_Place helper, and the pressure in the external volume of the chamber is stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_placeholder is filling with E2_placeholder, and the pressure inch the outer volume of the room was kept firm."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The holder of steel steel in steel E1_Place E1_Place was filled with <e2> compressed_nitrogen </e2>, and the pressure in the outside volume of the room is maintained stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",Stainless_steel Sword E1_Placeholder is filled with E2_Placeholder and the external pressure on the bedroom cost remains firm.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The designated steel E1_placeholder is the same as filling using E2_placeholder and Atmospheric_Pass in the external volume of the camera is stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","Doldon made of stainless steel E1_PLACE was filled with E2_PLACE HOLDER, and the pressure in the external book of the camera was stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The holder of steel steel in steel E1_Place E1_Place was filled with <e2> N2 </e2>, and the pressure of the Indiana The outside volume of the room was kept stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless sword E1_placeholder is filled with E2_placeholder and the pressure in the outer volume of the room is kept stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Place holder corresponds to the E2_Place helper, and the pressure that is the outer volume of the chamber remains stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel_steel e1_placeHolder must be filled with E2_placeholder and the pressure is the underworld the external volume of the chamber must be stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless steel <e1> tank </e1> is Fill_Up with E2_Placeholder and the pressure in the external volume of the Chamber must be observed stable.
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder is filled with E2_Placeholder, Indiana's external volume is stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","Stainless steel E1_Placeholder is filled with E2_Placeholder, and the pressure in indoor books is stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.","The stainless steel E1_Placeholder must meet <e2> liquid_nitrogen </e2>, and the pressure in the outside volume of the room was stable."
Back Translation,"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",The stainless sword_steel e1_placeHolder was filled with E2_Placeholder and the pressure in the external volume of the Chamber was kept stable.
